t,absZ,spacing
2121212121212121.057174396355653627517829633004902524627465962562082889786815506065679684836656418207,6.83668166333100542094425411125500821128611298748346234142284412877017548270672956531840292744625148e-22,0
2121212121212121.423952296903794858366053400597077957453762150224852389070240986305352944100555397881,8.262070323910652211838455735023080468601412503546880925437713099514376266430113840367664030502106613e-22,0.366777900548141230848223767592175432826296187662769499283425480239673259263898979674185949296356472
2121212121212121.637911189386821634578388080985689551305316601942438373682984653352855029191417024968,2.929223423167179321419268407104054666723835151604567208820723182754348925413747539971837712828951311e-22,0.2139588924830267762123346803886115938515544517175859846127436670475020850908616270871551933768797283
2121212121212121.722239184474112088505220811336406498192064809976889052574210988234679401321579311959,3.384834200769732483641361372427698453073190127158033893444439265586803160639682772393372597943739997e-22,0.0843279950872904539268327303507169468867482080344506788912263348818243721301622869910017866941716043
2121212121212121.931251612937579497374169467210449334653804772031907666985713288264470253704797642659,3.643248125356860032223146174676798438947203436007724322215711484552905069140944676818558058528337887e-23,0.2090124284634674088689486558740428364617399620550186144115023000297908523832183306999398317387948399
2121212121212122.139276141380401542318272686714086325735492855211445799411897615378212407159847237596,1.590374797667531265219012646863237422384132395348107331022260221091162584780480377924608991582876863e-23,0.208024528442822044944103219503636991081688083179538132426184327113742153455049594936997250972518665
2121212121212122.312544192668074760821167892275979978089434793247782550890700363216283888965629752846,8.0357754479411861550070033151567000889812614660057254408411944218153574366132615695479861278524173e-22,0.1732680512876732185028952055618936523539419380363367514788027478380714818057825152493520839888600484
2121212121212122.589825053898872476879592008602894273679088279508493136612693138948122993791467985325,9.613993039775809113899316893363499867889729739395411639344607899331304158808068639297748717297405758e-22,0.2772808612307977160584241163269142955896534862607105857219927757318391048258382324788674022556146797
2121212121212122.653240711140460903484084319747639895582775728448355608636986278225403635830655302707,5.059556986346139420033251234620646287475124799822029367948282548256947344324290117472898328462601449e-20,0.0634156572415884266044923111447456219036874489398624720242931392772806420391873173822602988305045777
2121212121212122.920823434159590226415624128790956308333985263613037444986059091378522005633476861126,6.30113741149039804735589048215980184767350688031975818738789125904939198529422608267600995156521666e-24,0.2675827230191293229315398090433164127512095351646818363490728131531183698028215584187855271228625272
2121212121212123.146055348673175157935179701620943014980322403140912373352837579609034147399856640709,9.976484837887052982237546382759359616401368597869940462882608794345624035520383746520437273427224204e-22,0.2252319145135849315195555728299867066463371395278749283667784882305121417663797795835756920469673569
